Paket,No,Jawaban
G9-P01,1,"C,D"
G9-P01,2,"B,D"
G9-P01,3,"D,E"
G9-P01,4,"B,D"
G9-P01,5,"B,E"
G9-P01,6,"A,B"
G9-P01,7,"C,E"
G9-P01,8,"C,E"
G9-P01,9,"A,D"
G9-P01,10,"A,D"
G9-P01,11,"B,E"
G9-P01,12,"A,D"
G9-P01,13,"B,D"
G9-P01,14,"A,D"
G9-P01,15,"B,E"
G9-P01,16,"A,D"
G9-P01,17,"A,B"
G9-P01,18,"B,D"
G9-P01,19,"C,D"
G9-P01,20,"C,E"
G9-P01,21,"D,E"
G9-P01,22,"B,D"
G9-P01,23,"B,D"
G9-P01,24,"A,C"
G9-P01,25,"C,E"
G9-P01,26,"B,E"
G9-P01,27,"B,E"
G9-P01,28,"A,D"
G9-P01,29,"A,C"
G9-P01,30,"B,C"
G9-P02,1,"B,E"
G9-P02,2,"A,B"
G9-P02,3,"D,E"
G9-P02,4,"D,E"
G9-P02,5,"C,E"
G9-P02,6,"D,E"
G9-P02,7,"C,D"
G9-P02,8,"B,D"
G9-P02,9,"D,E"
G9-P02,10,"A,B"
G9-P02,11,"B,C"
G9-P02,12,"B,D"
G9-P02,13,"A,D"
G9-P02,14,"A,C"
G9-P02,15,"B,D"
G9-P02,16,"C,D"
G9-P02,17,"B,D"
G9-P02,18,"A,B"
G9-P02,19,"A,C"
G9-P02,20,"B,C"
G9-P02,21,"B,E"
G9-P02,22,"B,C"
G9-P02,23,"C,D"
G9-P02,24,"B,E"
G9-P02,25,"C,D"
G9-P02,26,"B,E"
G9-P02,27,"A,D"
G9-P02,28,"B,C"
G9-P02,29,"C,D"
G9-P02,30,"A,D"
G9-P03,1,"A,D"
G9-P03,2,"A,B"
G9-P03,3,"D,E"
G9-P03,4,"A,C"
G9-P03,5,"B,D"
G9-P03,6,"C,D"
G9-P03,7,"A,D"
G9-P03,8,"A,C"
G9-P03,9,"A,C"
G9-P03,10,"B,C"
G9-P03,11,"A,C"
G9-P03,12,"B,E"
G9-P03,13,"C,D"
G9-P03,14,"C,E"
G9-P03,15,"D,E"
G9-P03,16,"B,E"
G9-P03,17,"A,D"
G9-P03,18,"C,E"
G9-P03,19,"A,B"
G9-P03,20,"B,C"
G9-P03,21,"A,C"
G9-P03,22,"C,D"
G9-P03,23,"B,E"
G9-P03,24,"A,D"
G9-P03,25,"B,C"
G9-P03,26,"A,B"
G9-P03,27,"D,E"
G9-P03,28,"D,E"
G9-P03,29,"A,B"
G9-P03,30,"A,D"
G9-P04,1,"C,D"
G9-P04,2,"C,E"
G9-P04,3,"A,D"
G9-P04,4,"A,B"
G9-P04,5,"A,C"
G9-P04,6,"B,D"
G9-P04,7,"A,B"
G9-P04,8,"B,C"
G9-P04,9,"C,E"
G9-P04,10,"A,D"
G9-P04,11,"A,E"
G9-P04,12,"C,E"
G9-P04,13,"A,E"
G9-P04,14,"C,E"
G9-P04,15,"A,D"
G9-P04,16,"A,C"
G9-P04,17,"A,E"
G9-P04,18,"B,D"
G9-P04,19,"C,D"
G9-P04,20,"A,D"
G9-P04,21,"A,E"
G9-P04,22,"B,C"
G9-P04,23,"A,B"
G9-P04,24,"C,E"
G9-P04,25,"B,D"
G9-P04,26,"A,B"
G9-P04,27,"C,E"
G9-P04,28,"D,E"
G9-P04,29,"A,C"
G9-P04,30,"B,C"
G9-P05,1,"A,C"
G9-P05,2,"D,E"
G9-P05,3,"D,E"
G9-P05,4,"A,B"
G9-P05,5,"C,D"
G9-P05,6,"B,E"
G9-P05,7,"A,D"
G9-P05,8,"A,C"
G9-P05,9,"D,E"
G9-P05,10,"A,C"
G9-P05,11,"A,E"
G9-P05,12,"C,E"
G9-P05,13,"A,C"
G9-P05,14,"B,C"
G9-P05,15,"A,E"
G9-P05,16,"A,C"
G9-P05,17,"B,C"
G9-P05,18,"B,C"
G9-P05,19,"B,D"
G9-P05,20,"A,C"
G9-P05,21,"A,C"
G9-P05,22,"C,D"
G9-P05,23,"A,C"
G9-P05,24,"D,E"
G9-P05,25,"B,D"
G9-P05,26,"B,C"
G9-P05,27,"A,E"
G9-P05,28,"C,E"
G9-P05,29,"B,C"
G9-P05,30,"A,B"
G9-P06,1,"A,B"
G9-P06,2,"A,D"
G9-P06,3,"B,C"
G9-P06,4,"A,B"
G9-P06,5,"B,C"
G9-P06,6,"A,E"
G9-P06,7,"A,B"
G9-P06,8,"B,E"
G9-P06,9,"D,E"
G9-P06,10,"C,E"
G9-P06,11,"B,E"
G9-P06,12,"B,C"
G9-P06,13,"A,B"
G9-P06,14,"A,D"
G9-P06,15,"A,D"
G9-P06,16,"C,D"
G9-P06,17,"A,D"
G9-P06,18,"B,D"
G9-P06,19,"D,E"
G9-P06,20,"A,B"
G9-P06,21,"B,C"
G9-P06,22,"A,E"
G9-P06,23,"A,D"
G9-P06,24,"A,E"
G9-P06,25,"B,C"
G9-P06,26,"D,E"
G9-P06,27,"C,D"
G9-P06,28,"D,E"
G9-P06,29,"A,E"
G9-P06,30,"A,C"
G9-P07,1,"A,C"
G9-P07,2,"B,D"
G9-P07,3,"D,E"
G9-P07,4,"A,B"
G9-P07,5,"B,E"
G9-P07,6,"A,B"
G9-P07,7,"C,D"
G9-P07,8,"B,E"
G9-P07,9,"C,D"
G9-P07,10,"B,E"
G9-P07,11,"A,D"
G9-P07,12,"B,C"
G9-P07,13,"B,C"
G9-P07,14,"B,E"
G9-P07,15,"A,D"
G9-P07,16,"C,E"
G9-P07,17,"A,D"
G9-P07,18,"C,D"
G9-P07,19,"A,E"
G9-P07,20,"B,E"
G9-P07,21,"B,C"
G9-P07,22,"A,D"
G9-P07,23,"B,E"
G9-P07,24,"A,E"
G9-P07,25,"C,E"
G9-P07,26,"C,E"
G9-P07,27,"D,E"
G9-P07,28,"A,C"
G9-P07,29,"C,E"
G9-P07,30,"B,E"
G9-P08,1,"A,B"
G9-P08,2,"A,D"
G9-P08,3,"A,D"
G9-P08,4,"B,D"
G9-P08,5,"A,B"
G9-P08,6,"A,C"
G9-P08,7,"C,E"
G9-P08,8,"A,D"
G9-P08,9,"A,C"
G9-P08,10,"C,E"
G9-P08,11,"B,C"
G9-P08,12,"A,D"
G9-P08,13,"C,D"
G9-P08,14,"A,E"
G9-P08,15,"B,D"
G9-P08,16,"C,E"
G9-P08,17,"A,C"
G9-P08,18,"C,D"
G9-P08,19,"A,E"
G9-P08,20,"A,C"
G9-P08,21,"D,E"
G9-P08,22,"B,C"
G9-P08,23,"A,E"
G9-P08,24,"D,E"
G9-P08,25,"A,D"
G9-P08,26,"B,C"
G9-P08,27,"B,D"
G9-P08,28,"C,D"
G9-P08,29,"B,D"
G9-P08,30,"D,E"
G9-P09,1,"C,E"
G9-P09,2,"B,C"
G9-P09,3,"A,B"
G9-P09,4,"A,B"
G9-P09,5,"A,E"
G9-P09,6,"C,E"
G9-P09,7,"C,D"
G9-P09,8,"A,C"
G9-P09,9,"C,E"
G9-P09,10,"A,D"
G9-P09,11,"A,D"
G9-P09,12,"A,E"
G9-P09,13,"C,E"
G9-P09,14,"A,D"
G9-P09,15,"A,D"
G9-P09,16,"A,E"
G9-P09,17,"D,E"
G9-P09,18,"B,E"
G9-P09,19,"B,E"
G9-P09,20,"A,C"
G9-P09,21,"C,E"
G9-P09,22,"A,D"
G9-P09,23,"B,D"
G9-P09,24,"B,E"
G9-P09,25,"A,B"
G9-P09,26,"A,B"
G9-P09,27,"A,B"
G9-P09,28,"B,C"
G9-P09,29,"A,C"
G9-P09,30,"B,D"
G9-P10,1,"D,E"
G9-P10,2,"C,E"
G9-P10,3,"A,E"
G9-P10,4,"A,D"
G9-P10,5,"A,D"
G9-P10,6,"C,E"
G9-P10,7,"A,C"
G9-P10,8,"A,D"
G9-P10,9,"B,D"
G9-P10,10,"C,E"
G9-P10,11,"A,E"
G9-P10,12,"C,E"
G9-P10,13,"C,D"
G9-P10,14,"A,C"
G9-P10,15,"A,E"
G9-P10,16,"A,C"
G9-P10,17,"B,D"
G9-P10,18,"B,C"
G9-P10,19,"C,D"
G9-P10,20,"A,B"
G9-P10,21,"A,B"
G9-P10,22,"A,B"
G9-P10,23,"B,E"
G9-P10,24,"A,B"
G9-P10,25,"B,C"
G9-P10,26,"A,C"
G9-P10,27,"A,C"
G9-P10,28,"B,D"
G9-P10,29,"D,E"
G9-P10,30,"B,E"
G12-P01,1,"A,E"
G12-P01,2,"A,C"
G12-P01,3,"D,E"
G12-P01,4,"B,C"
G12-P01,5,"A,B"
G12-P01,6,"A,E"
G12-P01,7,"A,D"
G12-P01,8,"B,C"
G12-P01,9,"C,E"
G12-P01,10,"C,E"
G12-P01,11,"C,D"
G12-P01,12,"B,C"
G12-P01,13,"C,E"
G12-P01,14,"B,E"
G12-P01,15,"A,C"
G12-P01,16,"A,B"
G12-P01,17,"A,C"
G12-P01,18,"A,D"
G12-P01,19,"A,C"
G12-P01,20,"D,E"
G12-P01,21,"A,D"
G12-P01,22,"D,E"
G12-P01,23,"A,B"
G12-P01,24,"C,E"
G12-P01,25,"D,E"
G12-P01,26,"A,E"
G12-P01,27,"B,E"
G12-P01,28,"D,E"
G12-P01,29,"A,C"
G12-P01,30,"A,E"
G12-P02,1,"C,E"
G12-P02,2,"A,D"
G12-P02,3,"A,E"
G12-P02,4,"A,E"
G12-P02,5,"C,D"
G12-P02,6,"C,E"
G12-P02,7,"A,E"
G12-P02,8,"B,C"
G12-P02,9,"A,B"
G12-P02,10,"C,D"
G12-P02,11,"B,E"
G12-P02,12,"A,D"
G12-P02,13,"A,B"
G12-P02,14,"B,D"
G12-P02,15,"A,E"
G12-P02,16,"C,E"
G12-P02,17,"D,E"
G12-P02,18,"C,D"
G12-P02,19,"C,D"
G12-P02,20,"B,D"
G12-P02,21,"A,C"
G12-P02,22,"D,E"
G12-P02,23,"B,E"
G12-P02,24,"B,D"
G12-P02,25,"B,E"
G12-P02,26,"A,D"
G12-P02,27,"A,E"
G12-P02,28,"B,C"
G12-P02,29,"B,E"
G12-P02,30,"D,E"
G12-P03,1,"B,E"
G12-P03,2,"C,D"
G12-P03,3,"B,E"
G12-P03,4,"C,E"
G12-P03,5,"C,E"
G12-P03,6,"B,D"
G12-P03,7,"B,D"
G12-P03,8,"A,D"
G12-P03,9,"A,B"
G12-P03,10,"B,E"
G12-P03,11,"A,D"
G12-P03,12,"A,B"
G12-P03,13,"C,D"
G12-P03,14,"C,D"
G12-P03,15,"A,D"
G12-P03,16,"A,E"
G12-P03,17,"C,D"
G12-P03,18,"B,D"
G12-P03,19,"A,C"
G12-P03,20,"A,B"
G12-P03,21,"A,E"
G12-P03,22,"B,E"
G12-P03,23,"A,D"
G12-P03,24,"C,D"
G12-P03,25,"A,B"
G12-P03,26,"A,C"
G12-P03,27,"A,B"
G12-P03,28,"C,D"
G12-P03,29,"A,B"
G12-P03,30,"C,D"
G12-P04,1,"A,B"
G12-P04,2,"A,B"
G12-P04,3,"B,C"
G12-P04,4,"A,B"
G12-P04,5,"B,C"
G12-P04,6,"B,C"
G12-P04,7,"B,E"
G12-P04,8,"A,E"
G12-P04,9,"A,E"
G12-P04,10,"B,E"
G12-P04,11,"A,D"
G12-P04,12,"C,E"
G12-P04,13,"B,D"
G12-P04,14,"D,E"
G12-P04,15,"A,E"
G12-P04,16,"B,E"
G12-P04,17,"A,E"
G12-P04,18,"A,B"
G12-P04,19,"B,D"
G12-P04,20,"D,E"
G12-P04,21,"A,D"
G12-P04,22,"C,E"
G12-P04,23,"B,D"
G12-P04,24,"A,C"
G12-P04,25,"B,D"
G12-P04,26,"B,D"
G12-P04,27,"A,E"
G12-P04,28,"A,D"
G12-P04,29,"A,E"
G12-P04,30,"D,E"
G12-P05,1,"B,D"
G12-P05,2,"C,D"
G12-P05,3,"A,B"
G12-P05,4,"A,C"
G12-P05,5,"A,B"
G12-P05,6,"A,E"
G12-P05,7,"D,E"
G12-P05,8,"D,E"
G12-P05,9,"C,E"
G12-P05,10,"A,B"
G12-P05,11,"B,D"
G12-P05,12,"A,D"
G12-P05,13,"A,E"
G12-P05,14,"C,D"
G12-P05,15,"C,D"
G12-P05,16,"A,C"
G12-P05,17,"D,E"
G12-P05,18,"A,C"
G12-P05,19,"D,E"
G12-P05,20,"A,D"
G12-P05,21,"A,B"
G12-P05,22,"A,C"
G12-P05,23,"B,C"
G12-P05,24,"B,E"
G12-P05,25,"A,D"
G12-P05,26,"D,E"
G12-P05,27,"A,B"
G12-P05,28,"A,E"
G12-P05,29,"A,E"
G12-P05,30,"A,E"
G12-P06,1,"D,E"
G12-P06,2,"D,E"
G12-P06,3,"C,E"
G12-P06,4,"B,E"
G12-P06,5,"A,B"
G12-P06,6,"A,D"
G12-P06,7,"A,E"
G12-P06,8,"A,C"
G12-P06,9,"B,D"
G12-P06,10,"B,D"
G12-P06,11,"B,C"
G12-P06,12,"A,C"
G12-P06,13,"B,C"
G12-P06,14,"A,D"
G12-P06,15,"C,E"
G12-P06,16,"A,C"
G12-P06,17,"B,C"
G12-P06,18,"A,E"
G12-P06,19,"A,D"
G12-P06,20,"C,D"
G12-P06,21,"B,D"
G12-P06,22,"A,D"
G12-P06,23,"D,E"
G12-P06,24,"D,E"
G12-P06,25,"C,E"
G12-P06,26,"B,C"
G12-P06,27,"A,B"
G12-P06,28,"B,D"
G12-P06,29,"C,D"
G12-P06,30,"A,E"
G12-P07,1,"B,C"
G12-P07,2,"B,E"
G12-P07,3,"B,C"
G12-P07,4,"A,D"
G12-P07,5,"B,C"
G12-P07,6,"A,D"
G12-P07,7,"C,D"
G12-P07,8,"B,D"
G12-P07,9,"C,D"
G12-P07,10,"A,B"
G12-P07,11,"B,E"
G12-P07,12,"B,E"
G12-P07,13,"D,E"
G12-P07,14,"C,E"
G12-P07,15,"A,B"
G12-P07,16,"B,C"
G12-P07,17,"A,B"
G12-P07,18,"A,B"
G12-P07,19,"A,E"
G12-P07,20,"B,E"
G12-P07,21,"A,D"
G12-P07,22,"A,B"
G12-P07,23,"C,D"
G12-P07,24,"A,B"
G12-P07,25,"A,D"
G12-P07,26,"C,E"
G12-P07,27,"D,E"
G12-P07,28,"A,B"
G12-P07,29,"C,E"
G12-P07,30,"A,E"
G12-P08,1,"A,C"
G12-P08,2,"A,B"
G12-P08,3,"A,D"
G12-P08,4,"C,D"
G12-P08,5,"B,D"
G12-P08,6,"A,C"
G12-P08,7,"D,E"
G12-P08,8,"D,E"
G12-P08,9,"B,C"
G12-P08,10,"C,E"
G12-P08,11,"A,E"
G12-P08,12,"A,E"
G12-P08,13,"B,D"
G12-P08,14,"B,E"
G12-P08,15,"B,D"
G12-P08,16,"A,B"
G12-P08,17,"A,B"
G12-P08,18,"A,C"
G12-P08,19,"C,E"
G12-P08,20,"A,C"
G12-P08,21,"B,C"
G12-P08,22,"B,E"
G12-P08,23,"C,E"
G12-P08,24,"A,D"
G12-P08,25,"B,C"
G12-P08,26,"B,E"
G12-P08,27,"A,B"
G12-P08,28,"C,D"
G12-P08,29,"A,B"
G12-P08,30,"B,D"
G12-P09,1,"A,E"
G12-P09,2,"B,C"
G12-P09,3,"C,D"
G12-P09,4,"C,E"
G12-P09,5,"A,D"
G12-P09,6,"D,E"
G12-P09,7,"C,E"
G12-P09,8,"A,B"
G12-P09,9,"D,E"
G12-P09,10,"B,E"
G12-P09,11,"D,E"
G12-P09,12,"A,E"
G12-P09,13,"A,E"
G12-P09,14,"B,D"
G12-P09,15,"A,B"
G12-P09,16,"A,C"
G12-P09,17,"B,C"
G12-P09,18,"C,D"
G12-P09,19,"A,C"
G12-P09,20,"B,D"
G12-P09,21,"C,E"
G12-P09,22,"C,E"
G12-P09,23,"D,E"
G12-P09,24,"A,C"
G12-P09,25,"D,E"
G12-P09,26,"A,E"
G12-P09,27,"B,D"
G12-P09,28,"A,B"
G12-P09,29,"C,D"
G12-P09,30,"C,D"
G12-P10,1,"A,E"
G12-P10,2,"A,B"
G12-P10,3,"A,C"
G12-P10,4,"C,E"
G12-P10,5,"B,D"
G12-P10,6,"A,D"
G12-P10,7,"B,D"
G12-P10,8,"A,D"
G12-P10,9,"B,D"
G12-P10,10,"D,E"
G12-P10,11,"B,C"
G12-P10,12,"B,C"
G12-P10,13,"B,C"
G12-P10,14,"A,D"
G12-P10,15,"D,E"
G12-P10,16,"B,C"
G12-P10,17,"A,C"
G12-P10,18,"C,D"
G12-P10,19,"D,E"
G12-P10,20,"A,E"
G12-P10,21,"A,D"
G12-P10,22,"C,D"
G12-P10,23,"A,C"
G12-P10,24,"A,C"
G12-P10,25,"A,B"
G12-P10,26,"A,E"
G12-P10,27,"A,C"
G12-P10,28,"A,B"
G12-P10,29,"C,E"
G12-P10,30,"A,C"